,id,title,diseno,ncValue,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16
3634,107107.0,MLOI082-Road repair #1 St. beginning and end and #7 St. Parcelas Vieques,Construcción,N/A,"#7 Street and #1 Street, Loiza, Puerto Rico, 00772",18.422746,-65.833604,MLOI037 Parcelas Vieques road repair,PA-02-PR-4339-PW-07607,106122,95510,95510,10612,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,11/12/2020,Proyecto 428
3636,107107.0,MLOI070-Road repair  Main St.  Del Carmen St. and End Alley Melilla,Construcción,N/A,"Colorao Street, Loiza, Puerto Rico, 00772",18.416947,-65.84043,MLOI035 Road repair Melilla & Main St. Del Carmen,PA-02-PR-4339-PW-07988,48172,43355,43355,4817,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,25/01/2021,Proyecto 428
3638,107107.0,ORO-FEMA-000-544,Completado,,,18.200787,-66.489368,APP CERT. MORO510 - Roads OF 295 & 544,PA-02-PR-4339-PW-10385,32379,29141,29141,3238,Orocovis,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,28/03/2022,Proyecto 428
3640,107107.0,Skate Park - Los Proceres,Adquisición de construcción,,"Calle Los proceres Carr. 3 Interior, Patillas, Puerto Rico, 00723",18.004281,-66.010063,MPAT036 - Skate Park - Los Proceres,PA-02-PR-4339-PW-02730,24501,22051,22051,2450,Patillas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,16/04/2020,Proyecto 428
3642,107107.0,Bridge Los Conde,Diseño,100,"Bo. Bajos Sector Los Conde, Patillas, Puerto Rico, 00723",17.97894,-65.99369,MPAT042 Culvert and Road Los Conde,PA-02-PR-4339-PW-02833,631852,568667,13104,63185,Patillas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,14/09/2022,Proyecto 428
3644,107107.0,CALLE 14 DE JULIO INTERSECCION JESUS T PINERO,Adquisición de construcción,,"Calle 14 de Julio Interseccion Jesus t pinero, LUQUILLO, Puerto Rico, 00773",18.375863,-65.716371,MLUQ011 Repair CALLE 14 DE JULIO INTERSECCION JESUS T PINERO,PA-02-PR-4339-PW-03233,35164,31648,31648,3516,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,05/10/2020,Proyecto 406
3646,107107.0,Centro Cibernetico Indiera Alta,Construcción,N/A,"Camino Esmeraldo Justiniano, Maricao, Puerto Rico",18.16462,-66.862702,MMAR015-Centro Cibernetico Indiera Alta,PA-02-PR-4339-PW-07206,75621,68059,68059,7562,Maricao,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,16/11/2020,Proyecto 406
3648,107107.0,Perla del Sur (Carlos Cartagena Street) Baseball Park,Adquisición de construcción,,"16 St. Carlos Cartagena (Behind Ponce Mall), Ponce, Puerto Rico, 00731",17.999677,-66.629017,"MPON719 - Perla del Sur II Recreational Area (Community Center, Baseball Park, Basketball Court)",PA-02-PR-4339-PW-05275,116387,104748,104748,11639,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,11/05/2020,Proyecto 406
3650,107107.0,Patillas Municipality Interoperation Communication System,Construcción,N/A,,18.0044,-66.01219,Improved Project - MPAT - Patillas Municipality Interoperability Communication System ,PA-02-PR-4339-PW-03059,105270,94743,94743,10527,Patillas,Huracán María (4339),Municipios,Categoría F - Servicio Básico,Pequeño,16/04/2020,Proyecto 428
3652,107107.0,Bridge Los Lebron,Diseño,100,"Bo. Jacaboa, Sector Los Lebron, Patillas, Puerto Rico, 00723",18.004281,-66.010063,(Cost purpose only) MPAT106 Bridge Los Lebron,PA-02-PR-4339-PW-03246,460213,414192,17550,46021,Patillas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,18/10/2022,Proyecto 428
3654,107107.0,Road PR-181 Int Path Los Corinos,Construcción,60,"Bo. Marin PR-181 Path Los Corinos, Patillas, Puerto Rico, 00723",18.022275,-66.010045,"MPAT071 - Road PR-181, Int Path Los Corinos",PA-02-PR-4339-PW-03409,501641,451477,316008,50164,Patillas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,27/05/2020,Proyecto 428
3656,107107.0,Recreative Area Las Piscinas,Completado,,,18.24827,-66.98863,MLAS022 - Multiple Recreational Facilities and Geriatric Center,PA-02-PR-4339-PW-11054,259439,233495,0,25944,Las Marías,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,02/12/2022,Proyecto 406
3658,107107.0,Los Maldonados Sector Road Landslide (Item #63),Diseño,100,"PR 917 Interior, Las Piedras, Puerto Rico, 00771",18.156358,-65.913964,[A&E] MLAP019-Los Maldonados Sector Road Landslide (Item #63),PA-02-PR-4339-PW-03343,67372,60635,60635,6737,Las Piedras,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,28/02/2020,Proyecto 406
3660,107107.0,City Hall (Item #112),Construcción,40,"PR 198 , Las Piedras, Puerto Rico, 00771",18.186213,-65.872866,MLAP011-City Hall (Item #112),PA-02-PR-4339-PW-03817,872808,785527,0,87281,Las Piedras,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,29/06/2021,Proyecto 406
3662,107107.0,Entrada del Sector Carabalí,Adquisición de construcción,,"PR-992 Interior Entrada al Sector Carabalí, LUQUILLO, Puerto Rico, 00773",,,MLUQ034 Road Repair Entrada del Sector Carabalí,PA-02-PR-4339-PW-03280,21570,19413,19413,2157,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,11/03/2020,Proyecto 406
3664,107107.0,PR-992 Int. PR-990 Sector San Vicente,Adquisición de construcción,,"Sector San Vicente  PR-992 Int. PR-990,, LUQUILLO, Puerto Rico, 00773",18.37669,-65.716522,MLUQ007 Municipal Roads 2,PA-02-PR-4339-PW-04050,59093,53184,53184,5909,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,04/12/2020,Proyecto 406
3666,107107.0,Basketball Court & Park Bo. Cacao Alto,Adquisición de construcción,,"Bo. Cacao Alto, Patillas, Puerto Rico, 00723",18.016844,-66.029075,MPAT027 - Basketball Court & Park Bo. Cacao Alto,PA-02-PR-4339-PW-04785,344438,309994,0,34444,Patillas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,16/04/2020,Proyecto 428
3668,107107.0,Market Plaza (Item #82),Construcción,45,"PR 198, Las Piedras, Puerto Rico",18.182987,-65.871427,MLAP033-Market Plaza (Item #82),PA-02-PR-4339-PW-05118,293151,263836,0,29315,Las Piedras,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,25/06/2021,Proyecto 428
3670,107107.0,Roofed Basketball Court and Park Bo. Cacao Bajo (near a collapsed low water crossing ),Adquisición de construcción,,"Bo. Cacao Bajo PR 184 Km 1.1, Patillas, Puerto Rico, 00723",18.006328,-66.029437,MPAT065 Basketball Court and Park of Cacao Bajo Ward,PA-02-PR-4339-PW-04793,542237,488013,0,54224,Patillas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,28/05/2020,Proyecto 428
3672,107107.0,Baseball Park and Roofed Basketball Court Bo. Marin,Diseño,100,"Bo. Marin PR 181 Km 3.9, Patillas, Puerto Rico, 00723",18.03796,-65.99965,MPAT022 - Baseball Park and Roofed Basketball Court Bo. Marin,PA-02-PR-4339-PW-04905,894836,805352,0,89484,Patillas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,08/07/2020,Proyecto 428
3674,107107.0,Carretera Sector Hato Viejo,Adquisición de diseño,,"Bo. Mameyes I,, LUQUILLO, Puerto Rico, 00773",,,"MLUQ027 Road Repair Sector Hato Viejo, Fortuna Cerro, Quintas de Carabalí & Canta Gallo",PA-02-PR-4339-PW-04697,884521,796069,0,88452,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,01/07/2020,Proyecto 406
3676,107107.0,Sector Canta Gallo,Adquisición de diseño,,"Sector Canta Gallo,, LUQUILLO, Puerto Rico, 00773",,,"MLUQ027 Road Repair Sector Hato Viejo, Fortuna Cerro, Quintas de Carabalí & Canta Gallo",PA-02-PR-4339-PW-04697,884521,796069,0,88452,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,01/07/2020,Proyecto 406
3678,107107.0,Calle Cuesta el Tigre,Construcción,90,"Bo. Casa Blanca,, LUQUILLO, Puerto Rico, 00773",,,"MLUQ008 Repair Roads el gato, el tigre & el leon Bo. Casa Blanca",PA-02-PR-4339-PW-04743,152000,136800,0,15200,Luquillo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,20/07/2020,Proyecto 406
3680,107107.0,Camino Hacienda Nestor Frontera Section 4,Construcción,N/A,,18.171064,-66.8577,Hacienda Frontera Section 2 & 4 and Road 105 km 35.1 Section 1,PA-02-PR-4339-PW-09693,40387,36348,36348,4039,Maricao,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,30/11/2021,Proyecto 406
3682,107107.0,Mother House (Item #114),Construcción,40,"Desvio Jose Gomez Merced Intersection, Las Piedras, Puerto Rico, 00771",18.186213,-65.872866,MLAP029-Mother House (Item #114)-School Building (Item #113)-Youth House (Item #58),PA-02-PR-4339-PW-07304,401828,361645,0,40183,Las Piedras,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,14/05/2021,Proyecto 428
3684,107107.0,Ribera de Bucana III Housing - Building 2411,Construcción,15,"Ave. Tito Castro PR-14, Ponce, Puerto Rico, 00716",18.03262,-66.59103,MPON477- Ribera de Bucana III Housing,PA-02-PR-4339-PW-05804,648892,584003,0,64889,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,13/01/2023,Proyecto 406
3686,107107.0,Ribera de Bucana III - Building 2409,Construcción,15,,18.026439,-66.589568,MPON477- Ribera de Bucana III Housing,PA-02-PR-4339-PW-05804,648892,584003,0,64889,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,13/01/2023,Proyecto 406
3688,107107.0,Public Works Office,Adquisición de construcción,,"Calle Muñoz Rivera Final, Patillas, Puerto Rico, 00723",18.004238,-66.012724,MPAT050 Patilla's Public Work Offices ,PA-02-PR-4339-PW-06480,593162,533846,0,59316,Patillas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,08/03/2021,Proyecto 428
3690,107107.0,Ribera de Bucana III - Building 2406,Construcción,15,,18.026439,-66.589568,MPON477- Ribera de Bucana III Housing,PA-02-PR-4339-PW-05804,648892,584003,0,64889,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,13/01/2023,Proyecto 406
3692,107107.0,Ribera de Bucana III - Building 2408,Construcción,15,,18.026439,-66.589568,MPON477- Ribera de Bucana III Housing,PA-02-PR-4339-PW-05804,648892,584003,0,64889,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,13/01/2023,Proyecto 406
3694,107107.0,Glenview Baseball Park,Construcción,70,"Urb. Glenview, Ponce, Puerto Rico, 00730",18.041321,-66.593521,MPON773 - Glenview Ward Recreational Facilities,PA-02-PR-4339-PW-06089,975182,877664,597609,97518,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,16/08/2022,Proyecto 406
3696,107107.0,Glenview Gardens Biddy Basketbal Court,Construcción,70,"Bo. Machuelo Arriba, Ponce, Puerto Rico, 00731",18.041629,-66.592391,MPON773 - Glenview Ward Recreational Facilities,PA-02-PR-4339-PW-06089,975182,877664,597609,97518,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,16/08/2022,Proyecto 406
3698,107107.0,Roberto Arrigoitia Court (Item #119),Construcción,70,"Urb. Valle de Piedra, Las Piedras, Puerto Rico, 00771",18.193804,-65.867317,MLAP077-Roberto Arrigoitia Court (Item #119),PA-02-PR-4339-PW-07746,298660,268794,33186,29866,Las Piedras,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,01/06/2021,Proyecto 428
3700,107107.0,Bo. Matuyas Alto Roads - Landslides,Adquisición de construcción,,"Matuyas Alto, Maunabo, Puerto Rico, 00723",18.038679,-65.962784,MMAU061- Matuyas Roads - Landslides,PA-02-PR-4339-PW-04976,3034768,2731291,58605,303477,Maunabo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,05/08/2022,Proyecto 406
3702,107107.0,Tsunami Alarm System,Completado,,,18.380523,-65.72399,MLUQ047- Tsunami Alarm System,PA-02-PR-4339-PW-05719,16643,14979,14979,1664,Luquillo,Huracán María (4339),Municipios,Categoría F - Servicio Básico,Pequeño,11/06/2020,Proyecto 406
3704,107107.0,Basketball Court California,Construcción,N/A,,17.98325,-65.907364,MMAU036 Basketball Court California,PA-02-PR-4339-PW-05443,55518,49966,49966,5552,Maunabo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,12/06/2020,Proyecto 406
3706,107107.0,Basketball Court Calzada,Adquisición de diseño,,,17.993454,-65.91568,Basketball Court Calzada Sport Facilities  (Maunabo),PA-02-PR-4339-PW-05462,1861771,1675594,418899,186177,Maunabo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,31/07/2020,Proyecto 428
3708,107107.0,Office Building/Museum,Construcción,N/A,"Office Building/Museum Punta Tuna Lighthouse, Maunabo, Puerto Rico, 00707",17.99251,-65.88618,Office Building Museum ,PA-02-PR-4339-PW-05501,48353,43518,43518,4835,Maunabo,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,21/08/2020,Proyecto 406
3710,107107.0,MAP Ornamental Luminary Posts Avenida Betánces,Construcción,5,"Ponce Servicios, Ponce, Puerto Rico, 00730",18.016483,-66.61154,MPON458 - MAP Ornamental Street Luminaries,PA-02-PR-4339-PW-06193,1057699,951929,0,105770,Ponce,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,25/07/2022,Proyecto 428
3712,107107.0,Legrand Building Adjacent to Former Hacienda Building,Adquisición de construcción,,,17.974541,-66.614895,Legrand Building,PA-02-PR-4339-PW-06346,661427,595284,0,66143,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,19/08/2020,Proyecto 406
3714,107107.0,Basketball Court Emajaguas-Los Pinos,Adquisición de diseño,,,18.002218,-65.876632,MMAU037 Basketball Court Emajaguas-Los Pinos,PA-02-PR-4339-PW-05729,348224,313402,78351,34822,Maunabo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,21/08/2020,Proyecto 406
3716,107107.0,MLOI061-Road repair Main Street Int. Villa Colobó Main Street spot 1 and spot 2 Colobo,Construcción,N/A,"Colorao Street, Loiza, Puerto Rico, 00772",18.425575,-65.841181,MLOI030 Street Villa Colobó,PA-02-PR-4339-PW-03082,12964,11668,11668,1296,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,11/06/2020,Proyecto 428
3718,107107.0,MLOI008-Loiza Cultural Center (Contents),Construcción,75,,18.433657,-65.879829,MLOI016 Loiza Cultural Center,PA-02-PR-4339-PW-03488,344201,309781,77445,34420,Loíza,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,23/04/2020,Proyecto 428
3720,107107.0,Villa Cristiana Area 6,Completado,,"Villa Cristiana, Mediania Alta, Loiza, Puerto Rico, 00772",18.42383,-65.83902,"Improved Project - MLOI087 Villa Cristiana Area 4, 5 & 6",PA-02-PR-4339-PW-04652,232653,209388,52347,23265,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,05/10/2020,Proyecto 428
3722,107107.0,Casitas de los Bomberos - 25 de Enero Street #17,Adquisición de construcción,,"Calle 25 de Enero, Ponce, Puerto Rico, 00730",18.01328,-66.62253,MPON602 - Casitas de Bomberos (25 de enero street),PA-02-PR-4339-PW-07494,331834,298651,0,33183,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,17/12/2020,Proyecto 406
3724,107107.0,Casitas de los Bomberos - 25 de Enero Street #25,Adquisición de construcción,,"25 de Enero Street, Ponce, Puerto Rico, 00730",18.01328,-66.62253,MPON602 - Casitas de Bomberos (25 de enero street),PA-02-PR-4339-PW-07494,331834,298651,0,33183,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,17/12/2020,Proyecto 406
3726,107107.0,Basketball Court Tumbao,Adquisición de construcción,,,18.018792,-65.92417,MMAU034 Sport & Recreational Facilities Tumbao,PA-02-PR-4339-PW-06876,106682,96014,96014,10668,Maunabo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,02/11/2020,Proyecto 406
3728,107107.0,Tumbao-Los Modesti Bridge 1,Adquisición de diseño,,,18.022061,-65.922694,MMAU060 Bo. Tumbao Roads Culverts,PA-02-PR-4339-PW-08722,153996,138596,34649,15400,Maunabo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,10/06/2021,Proyecto 406
3730,107107.0,Casitas de los Bomberos - Paseo Hormiguero #25,Adquisición de construcción,,"Paseo Hormiguero, Ponce, Puerto Rico, 00730",18.01228,-66.62265,MPON602 - Casitas de Bomberos (25 de enero street),PA-02-PR-4339-PW-07494,331834,298651,0,33183,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,17/12/2020,Proyecto 406
3732,107107.0,Casitas de los Bomberos - Paseo Hormiguero #37,Adquisición de construcción,,"Paseo Hormiguero , Ponce, Puerto Rico, 00730",18.01228,-66.62265,MPON602 - Casitas de Bomberos (25 de enero street),PA-02-PR-4339-PW-07494,331834,298651,0,33183,Ponce,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,17/12/2020,Proyecto 406
3734,107107.0,Matuyas Bajo-La Maravilla Road 4,Adquisición de construcción,,,18.033646,-65.947047,MMAU048 Matuyas Bajo Roads,PA-02-PR-4339-PW-09368,250614,225553,56388,25061,Maunabo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,08/09/2021,Proyecto 406
3736,107107.0,Bo. Matuyas-Roman Rivera Bridge 1,Adquisición de construcción,,,18.033082,-65.950685,MMAU048 Matuyas Bajo Roads,PA-02-PR-4339-PW-09368,250614,225553,56388,25061,Maunabo,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,08/09/2021,Proyecto 406
3738,107107.0,MLOI031-Villas de Loiza Baseball Park  Bathrooms,Construcción,75,"Parcelas Vieques, Loiza, Puerto Rico, 00772",18.384559,-65.870189,MLOI021Villas de Loiza Baseball Parks,PA-02-PR-4339-PW-04856,363398,327058,81764,36340,Loíza,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,19/05/2020,Proyecto 428
3740,107107.0,MLOI039-Urb.Palmarenas Basketball and Volleyball Court (Bathrooms 2),Construcción,95,"Colobo, Loiza, Puerto Rico, 00772",18.428828,-65.873352,Improved Project - MLOI078 Palmarenas Recreational Facilities,PA-02-PR-4339-PW-04906,501530,451377,112844,50153,Loíza,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,19/05/2020,Proyecto 428
3742,107107.0,MLOI112-Road repair Main St. and Entrance Malibu,Construcción,N/A,,18.433682,-65.866276,MLOI053 Road repair Main St. and Entrance Malibu,PA-02-PR-4339-PW-05260,25958,23362,23362,2596,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,23/06/2020,Proyecto 428
3744,107107.0,Luis Tite Arroyo Baseball Park,Adquisición de construcción,,"Quebrada Ceiba Ward, Peñuelas, Puerto Rico, 00624",18.051726,-66.718994,"A&E MPEN277 - Luis ""Tite"" Arroyo Baseball Park",PA-02-PR-4339-PW-05360,90154,81139,81139,9015,Peñuelas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,12/02/2021,Proyecto 406
3746,107107.0,MLOI058-Road repair Colorao Street Entrance and End,Construcción,N/A,"Colorao Street, Loiza, Puerto Rico, 00772",,,"MLOI028 Streets Villa del Carmen, Papin and Colorao ",PA-02-PR-4339-PW-05330,99717,89745,89745,9972,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,13/08/2020,Proyecto 428
3748,107107.0,MLOI149-Roads repair Villas de Loiza 4,Construcción,N/A,,18.382686,-65.868554,MLOI066 Roads repair Villas de Loiza 2,PA-02-PR-4339-PW-06405,106974,96277,96277,10697,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,25/09/2020,Proyecto 428
3750,107107.0,MLOI153-Roads repair Villas de Loiza 7,Construcción,N/A,"Urb. Villas de Loiza, Loiza, Puerto Rico, 00772",18.385005,-65.866023,"MLOI067 Roads repair Villas de Loiza 3, 7 & 10",PA-02-PR-4339-PW-06711,25666,23099,23099,2567,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,04/11/2020,Proyecto 428
3752,107107.0,MLOI065-Road repair street besides sports court 2nd Entrance Left and 3rd Entrance Left,Construcción,N/A,"Colorao Street, Loiza, Puerto Rico, 00772",18.428959,-65.83849,"MLOI065- Road repair street besides sports court, 2nd Entrance Left and 3rd Entrance Left",PA-02-PR-4339-PW-06867,41199,37079,37079,4120,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,30/10/2020,Proyecto 428
3754,107107.0,CANCHA -SABANA SECA,Construcción,90,"Calle 2, Km 49.9, Manati, Puerto Rico, 00674",18.415733,-66.474244,P97387-DR4339PR-MANATI-CANCHA SABANA SECA-CENTRO COMUNAL SABANA SECA-PARQUE PELOTA SABANA SECA,PA-02-PR-4339-PW-07248,267452,240707,0,26745,Manatí,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,23/11/2020,Proyecto 428
3756,107107.0,PARQUE DE PELOTA - CORTÉS,Construcción,90,"Calle 2, Km 49.9, Manati, Puerto Rico, 00674",18.2435,-66.3156,P97978-DR4339PR-MANATI-BIBLIOTECA SATELITE CORTES; CANCHA BAJO TECHO CORTES (SECTOR CEIBA); PARQUE DE PELOTA CORTES; CANCHA BAJO TECHO  CORTES,PA-02-PR-4339-PW-09009,321091,288982,32385,32109,Manatí,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,25/06/2021,Proyecto 428
3758,107107.0,Fullana Recreational Area,Construcción,N/A,"Urb. Mariani, Ponce, Puerto Rico, 00731",18.005545,-66.621587,MPON822 - Fullana Basketball Court and Recreational Area,PA-02-PR-4339-PW-01709,19606,17645,17645,1961,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,07/04/2020,Proyecto 406
3760,107107.0,MLOI145-Roads repair Country View Villas de Loiza,Construcción,N/A,,18.386827,-65.872644,MLOI063 Roads repair Country View Villas de Loiza,PA-02-PR-4339-PW-06970,61366,55229,55229,6137,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,04/11/2020,Proyecto 428
3762,107107.0,MLOI156-Road repair #1 Street Int. #3 Street Palmarejo,Construcción,N/A,,18.378698,-65.872616,MLOI086 Road repair #1 Street Int. #3 Street Palmarejo &  Intersection PR-3 Entrance,PA-02-PR-4339-PW-07006,14974,13477,13477,1497,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,21/01/2021,Proyecto 428
3764,107107.0,PARQUE DE PELOTA - TIERRAS NUEVAS,Adquisición de construcción,,"Road 6616, Manati, Puerto Rico, 00674",18.45148,-66.49372,P97401-DR4339PR-MANATI- CENTRO DE SERVICIOS MULTIPLES - TIERRAS NUEVAS; PARQUE DE PELOTA -TIERRAS NUEVAS; CANCHA -TIERRAS NUEVAS,PA-02-PR-4339-PW-09369,561759,505583,126396,56176,Manatí,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,21/12/2021,Proyecto 428
3766,107107.0,MONUMENTO CENTROAMERICANO,Completado,,"#29 CAYETANO COLL Y TOSTE AVE., Mayaguez, Puerto Rico, 00680",18.190363,-67.155385,MMAY050 - Monuments,PA-02-PR-4339-PW-05698,160138,144124,108093,16014,Mayagüez,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,23/06/2020,Proyecto 428
3768,107107.0,Several Sectors- Road Luminary,Construcción,N/A,"Mayaguez, Puerto Rico, 00680",18.224557,-67.076893,MMAY027 - Road Luminary,PA-02-PR-4339-PW-05966,61780,55602,55602,6178,Mayagüez,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,18/08/2020,Proyecto 428
3770,107107.0,Quebrada del Agua Roofed Basketball Court,Completado,,"Sector Villa Paraíso, Ponce, Puerto Rico, 00728",18.03879,-66.68307,"MPON594- Quebrada del Agua Recreational Area (Basketball, Baseball, Communal Center, Digital Education Center)",PA-02-PR-4339-PW-02753,66086,59477,59477,6609,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,06/03/2020,Proyecto 406
3772,107107.0,Quebrada del Agua Baseball Park,Completado,,"Quebrada del Agua Baseball Park, Ponce, Puerto Rico, 00728",18.03855,-66.6826,"MPON594- Quebrada del Agua Recreational Area (Basketball, Baseball, Communal Center, Digital Education Center)",PA-02-PR-4339-PW-02753,66086,59477,59477,6609,Ponce,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,06/03/2020,Proyecto 406
3774,107107.0,PARQUE DE PELOTA - CAMPO ALEGRE,Adquisición de construcción,,"Bda. Rosa & West PR-383, Manati, Puerto Rico, 00674",18.432379,-66.478905,P107228-DR4339PR-CANCHA CAMPO ALEGRE-PARQUE DE PELOTA CAMPO ALEGRE,PA-02-PR-4339-PW-09809,966011,869410,217352,96601,Manatí,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,18/01/2022,Proyecto 428
3776,107107.0,Bo Cocos,Completado,,,18.480919,-66.906311,MQUE007 (2) Damaged Roads for Sites 16 & 17,PA-02-PR-4339-PW-01885,102918,92626,92626,10292,Quebradillas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,29/04/2020,Proyecto 406
3778,107107.0,Bo Cocos,Completado,,"Bo Cocos Carr.481 Km 0.8, Quebradillas, Puerto Rico, 00678",18.470959,-66.937744,MQUE007 (2) Damaged Roads for Sites 16 & 17,PA-02-PR-4339-PW-01885,102918,92626,92626,10292,Quebradillas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,29/04/2020,Proyecto 406
3780,107107.0,MLOI118-Road repair Main St. Villa Kennedy,Construcción,N/A,,18.430132,-65.854072,MLOI056 Road repair Main Street Urb. El Portal & Villa Kennedy,PA-02-PR-4339-PW-07406,83538,75184,75184,8354,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,21/01/2021,Proyecto 428
3782,107107.0,MLOI083-Road repair #2 St. Int. San Rafael St. #2 St and #2 St. Int. #5 St Parcelas Vieques,Construcción,N/A,,18.426012,-65.834812,MLOI037 Parcelas Vieques road repair,PA-02-PR-4339-PW-07607,106122,95510,95510,10612,Loíza,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,11/12/2020,Proyecto 428
